Model;Manuf;Model Details;Year;Month;Motor Type_0;Motor Type_1;Transmission;Color;Body Type;Price;Mileage
Porsche Cayenne;Porsche;Cayenne;2011;;3;Dīzelis;Automāts;Melna;Apvidus;17900;265000
Kia Sportage;Kia;Sportage;2020;Oktobris;1,6;Dīzelis;Automāts 7 ātrumi;Baltametālika;Apvidus;17900;79000
Hyundai Tucson;Hyundai;Tucson;2020;Februāris;1,6;Dīzelis;Manuāla 6 ātrumi;Pelēkametālika;Apvidus;17900;72000
Nissan Juke;Nissan;Juke;2021;Jūnijs;1;Benzīns;Automāts;Pelēka;Apvidus;17900;52000
Hyundai Ioniq;Hyundai;Ioniq;2020;Oktobris;1,6;Hybrid;Automāts;Brūnametālika;Hečbeks;17900;73409
Nissan Leaf;Nissan;Leaf;2021;Maijs;;;Automāts;Baltametālika;-;17900;8691
Porsche Cayenne;Porsche;Cayenne;2011;Jūlijs;3;Dīzelis;Automāts 8 ātrumi;Melna;Apvidus;17900;
Porsche Cayenne;Porsche;Cayenne;2012;Augusts;3;Dīzelis;Automāts 8 ātrumi;Melnametālika;Apvidus;17800;271000
Porsche Cayenne;Porsche;Cayenne;2013;;3;Dīzelis;Automāts;NA;Apvidus;17800;239000
Suzuki Vitara;Suzuki;Vitara;2022;Novembris;1,4;Hybrid;Manuāla 6 ātrumi;Melna;Apvidus;17800;35000
Porsche Panamera;Porsche;Panamera;2011;Jūlijs;3,6;Benzīns;Automāts 8 ātrumi;Melna;Sedans;17800;
Nissan Juke;Nissan;Juke;2020;;1;Benzīns;Automāts;Pelēka;Apvidus;17790;41104
Hyundai Tucson;Hyundai;Tucson;2016;;1,6;Benzīns;Automāts;Pelēka;Apvidus;17790;141586
Hyundai i30;Hyundai;i30;2020;Maijs;1,4;Benzīns;Automāts 7 ātrumi;Sarkanametālika;Sedans;17790;54000
Hyundai i30;Hyundai;i30;2021;;1;Benzīns;Automāts;Sarkana;Universāls;17790;51404
Toyota C-HR;Toyota;C-HR;2018;Decembris;1,2;Benzīns;Automāts;Pelēka;Apvidus;17700;62414
Hyundai Citi;Hyundai;Citi;2021;;1;Benzīns;Automāts;Balta;Hečbeks;17690;51396
Toyota C-HR;Toyota;C-HR;2017;Augusts;1,8;Hybrid;Automāts;Baltametālika;Apvidus;17650;
Toyota Proace;Toyota;Proace;2021;Augusts;1,5;Dīzelis;Manuāla 6 ātrumi;Baltametālika;Minivens;17650;91958
Toyota Corolla;Toyota;Corolla;2020;Jūlijs;1,8;Hybrid;Automāts;Sudrabametālika;Sedans;17600;78496
Toyota Yaris;Toyota;Yaris;2022;Novembris;1,5;Hybrid;Automāts;Balta;Hečbeks;17500;39500
Toyota RAV 4;Toyota;RAV 4;2018;Oktobris;2,5;Hybrid;Automāts 6 ātrumi;Melnametālika;Apvidus;17500;90000
Porsche Cayenne;Porsche;Cayenne;2012;Jūlijs;3;Dīzelis;Automāts 8 ātrumi;Balta;Apvidus;17500;245000
Porsche Cayenne;Porsche;Cayenne;2011;;4,8;Benzīns;Automāts;Melnametālika;Apvidus;17500;203000
Toyota RAV 4;Toyota;RAV 4;2017;;2;Benzīns/Gāze;Automāts;Brūnametālika;Apvidus;17500;272000
Porsche Cayenne;Porsche;Cayenne;2013;Aprīlis;3;Dīzelis;Automāts;Balta;Apvidus;17500;332500
Hyundai Santa FE;Hyundai;Santa FE;2016;;2,2;Dīzelis;Automāts;Brūnametālika;Apvidus;17500;185000
Porsche Panamera;Porsche;Panamera;2009;;4,8;Benzīns;Automāts;Brūna;Hečbeks;17500;226560
Porsche Cayenne;Porsche;Cayenne;2012;;3;Dīzelis;Automāts;Melnametālika;Apvidus;17500;260000
Toyota Corolla;Toyota;Corolla;2021;Februāris;1,8;Hybrid;Automāts;Brūnametālika;Sedans;17490;96024
Nissan Leaf;Nissan;Leaf;2020;Septembris;;;Automāts;Pelēkametālika;Hečbeks;17350;41000
Nissan Leaf;Nissan;Leaf;2019;;;;Automāts;Balta;NA;17350;23000
Toyota Corolla;Toyota;Corolla;2022;Oktobris;1,5;Benzīns;Manuāla 6 ātrumi;Sudrabametālika;Sedans;17300;53789
Toyota Proace;Toyota;Proace;2018;Marts;1,6;Dīzelis;Manuāla 6 ātrumi;Pelēkametālika;Minivens;17300;138500
Hyundai Tucson;Hyundai;Tucson;2017;;2;Dīzelis;Manuāla;Sudraba;Apvidus;17300;87000
Nissan Juke;Nissan;Juke;2022;Marts;1;Benzīns;Automāts;Sarkanametālika;Apvidus;17300;44500
Nissan Leaf;Nissan;Leaf;2019;Marts;;;Automāts;Baltametālika;Hečbeks;17250;44000
Hyundai Tucson;Hyundai;Tucson;2020;Augusts;1,6;Dīzelis;Manuāla 6 ātrumi;Balta;Apvidus;17230;103000
Hyundai Tucson;Hyundai;Tucson;2017;Maijs;2;Dīzelis;Automāts;Sudrabametālika;Apvidus;17150;180500
Nissan Qashqai;Nissan;Qashqai;2019;Marts;1,3;Benzīns;Manuāla 6 ātrumi;Brūna;Apvidus;17150;48842
Nissan Qashqai;Nissan;Qashqai;2019;Marts;1,2;Benzīns;Manuāla;Pelēka;Hečbeks;17000;123249
Porsche Cayenne;Porsche;Cayenne;2011;;3;Dīzelis;Automāts;Melna;Apvidus;17000;302000
Toyota Hilux;Toyota;Hilux;2012;;3;Dīzelis;Automāts;Pelēka;Pikaps;17000;271238
Mitsubishi Eclipse;Mitsubishi;Eclipse;2018;;1,5;Benzīns;Automāts;Balta;Apvidus;17000;81000
Hyundai Ioniq;Hyundai;Ioniq;2017;Novembris;;;Automāts;Oranžametālika;Hečbeks;17000;125000
Porsche Cayenne;Porsche;Cayenne;2010;Oktobris;4,8;Benzīns;Automāts 8 ātrumi;Violeta;Apvidus;16999;304000
Toyota Sienna;Toyota;Sienna;2018;Decembris;3,5;Benzīns;Automāts 8 ātrumi;Baltametālika;Minivens;16999;
Nissan Juke;Nissan;Juke;2020;;1;Benzīns;Automāts;Pelēka;Apvidus;16990;64460
Toyota C-HR;Toyota;C-HR;2017;Maijs;1,8;Hybrid;Automāts;Pelēkametālika;Apvidus;16990;171442
Hyundai i20;Hyundai;i20;2022;Aprīlis;1;Benzīns;Automāts 7 ātrumi;Balta;Hečbeks;16990;57000
Porsche Cayenne;Porsche;Cayenne;2012;Februāris;3;Dīzelis;Automāts 8 ātrumi;Pelēka;Apvidus;16990;
Toyota Yaris;Toyota;Yaris;2021;;1,5;Benzīns;Automāts;Balta;Hečbeks;16950;
Toyota Corolla;Toyota;Corolla;2019;Augusts;1,8;Hybrid;Automāts;Pelēkametālika;Universāls;16900;158000
Toyota Yaris;Toyota;Yaris;2022;Septembris;1,5;Benzīns;Automāts;Pelēkametālika;Hečbeks;16900;37290
Toyota Yaris;Toyota;Yaris;2022;;1,5;Benzīns;Automāts;Pelēkametālika;Hečbeks;16900;35870
Toyota Yaris;Toyota;Yaris;2022;Septembris;1,5;Benzīns;Automāts;Pelēkametālika;Hečbeks;16900;40053
Toyota Yaris;Toyota;Yaris;2022;;1,5;Benzīns;Automāts;Pelēkametālika;Hečbeks;16900;42993
Porsche Cayenne;Porsche;Cayenne;2011;Maijs;4,8;Benzīns;Automāts 8 ātrumi;Violetametālika;Apvidus;16900;271000
Citroen C4;Citroen;C4;2021;Jūlijs;1,5;Dīzelis;Automāts 8 ātrumi;Pelēkametālika;Apvidus;16900;110000
Nissan Qashqai;Nissan;Qashqai;2020;Janvāris;1,3;Benzīns;Manuāla 6 ātrumi;Brūnametālika;Apvidus;16900;91265
Hyundai Ioniq;Hyundai;Ioniq;2020;;1,6;Hybrid;Automāts;Zila;Hečbeks;16900;56800
Kia Stonic;Kia;Stonic;2021;Septembris;1;Benzīns;Automāts;Balta;Hečbeks;16900;10595
Kia Stinger;Kia;Stinger;2018;;2,2;Dīzelis;Automāts 8 ātrumi;Zilametālika;Sedans;16900;216000
Toyota Corolla;Toyota;Corolla;2019;Augusts;1,8;Hybrid;Automāts 6 ātrumi;Sudrabametālika;Sedans;16900;59500
Hyundai Tucson;Hyundai;Tucson;2016;Septembris;2;Dīzelis;Automāts;NA;Hečbeks;16899;147000
Citroen Berlingo;Citroen;Berlingo;2020;Jūlijs;1,2;Benzīns;Automāts 7 ātrumi;Pelēkametālika;Minivens;16890;102000
Toyota RAV 4;Toyota;RAV 4;2016;Jūlijs;2;Benzīns;Automāts;Brūnametālika;Apvidus;16800;174000
Toyota C-HR;Toyota;C-HR;2017;Marts;1,2;Benzīns;Automāts;Pelēkametālika;Apvidus;16800;85000
Nissan Qashqai;Nissan;Qashqai;2019;Augusts;1,3;Benzīns;Automāts;Brūnametālika;Hečbeks;16795;91316
Hyundai Tucson;Hyundai;Tucson;2017;;1,7;Dīzelis;Automāts;Zilametālika;Apvidus;16790;178000
Hyundai Citi;Hyundai;Citi;2022;Maijs;1;Benzīns;Manuāla 6 ātrumi;Zila;Hečbeks;16790;27886
Nissan X-Trail;Nissan;X-Trail;2018;Jūnijs;1,6;Dīzelis;Manuāla 6 ātrumi;Melna;Apvidus;16750;134000
Toyota Corolla;Toyota;Corolla;2019;Jūnijs;1,8;Hybrid;Automāts;Balta;Sedans;16700;43500
Porsche Cayenne;Porsche;Cayenne;2011;Marts;3;Dīzelis;Automāts 8 ātrumi;Melna;Apvidus;16700;330000
Nissan X-Trail;Nissan;X-Trail;2018;Aprīlis;1,6;Dīzelis;Automāts;Melnametālika;Apvidus;16700;121000
Porsche Cayenne;Porsche;Cayenne;2010;Jūlijs;3;Dīzelis;Automāts 8 ātrumi;Balta;Apvidus;16661;249000
Toyota RAV 4;Toyota;RAV 4;2017;Oktobris;2,5;Hybrid;Automāts;Pelēkametālika;Apvidus;16600;247000
Toyota Hilux;Toyota;Hilux;2015;Novembris;3;Dīzelis;Automāts 5 ātrumi;Sudrabametālika;Pikaps;16600;189000
Toyota Hilux;Toyota;Hilux;2016;Decembris;2,4;Dīzelis;Manuāla 6 ātrumi;Pelēka;Pikaps;16500;234000
Toyota C-HR;Toyota;C-HR;2018;Janvāris;1,8;Hybrid;Automāts;Zilametālika;Apvidus;16500;178000
Toyota Corolla;Toyota;Corolla;2022;Augusts;1,5;Benzīns;Automāts;Brūna;Sedans;16500;32000
Toyota Corolla;Toyota;Corolla;2019;Marts;1,8;Hybrid;Automāts;NA;Hečbeks;16500;72600
Porsche Cayenne;Porsche;Cayenne;2011;Maijs;3;Dīzelis;Automāts 8 ātrumi;Melnametālika;Apvidus;16500;345000
Nissan Qashqai;Nissan;Qashqai;2017;Jūnijs;1,6;Dīzelis;Automāts;Pelēkametālika;Apvidus;16500;110307
Nissan Navara;Nissan;Navara;2016;Maijs;2,3;Dīzelis;Automāts 7 ātrumi;NA;Apvidus;16500;212093
Citroen Jumper;Citroen;Jumper;2020;Maijs;2,2;Dīzelis;Manuāla;Balta;Mikroautobuss;16500;67594
Nissan Leaf;Nissan;Leaf;2019;Novembris;;;Automāts;Melnametālika;Hečbeks;16500;60000
Hyundai i30;Hyundai;i30;2021;Janvāris;1,5;Hybrid;Manuāla 6 ātrumi;Sarkanametālika;Universāls;16500;140000
Kia Ceed;Kia;Ceed;2021;Jūlijs;1,5;Benzīns;Automāts 7 ātrumi;Zilametālika;Universāls;16500;39500
Nissan X-Trail;Nissan;X-Trail;2016;Maijs;1,6;Dīzelis;Automāts;Balta;Apvidus;16500;
Hyundai Tucson;Hyundai;Tucson;2016;Aprīlis;2;Dīzelis;Manuāla 6 ātrumi;Baltametālika;Apvidus;16500;
Toyota Hilux;Toyota;Hilux;2012;Maijs;3;Dīzelis;Manuāla 6 ātrumi;Melnametālika;Pikaps;16450;299886
Porsche Cayenne;Porsche;Cayenne;2011;;3;Dīzelis;Automāts 8 ātrumi;Pelēkametālika;Apvidus;16450;
Toyota Corolla;Toyota;Corolla;2019;;1,8;Hybrid;Automāts;Gaiši;Sedans;16400;103000
Hyundai Tucson;Hyundai;Tucson;2019;Jūlijs;1,6;Dīzelis;Automāts;Pelēka;Apvidus;16400;84000
Nissan Leaf;Nissan;Leaf;2022;Februāris;;;Automāts;Balta;Hečbeks;16400;31758
Suzuki Vitara;Suzuki;Vitara;2021;Jūlijs;1,4;Hybrid;Manuāla 6 ātrumi;Oranžametālika;Apvidus;16390;56000
Hyundai Kona;Hyundai;Kona;2019;;;;Automāts;Sarkana;NA;16350;80000
Toyota RAV 4;Toyota;RAV 4;2015;Aprīlis;2;Benzīns;Manuāla 6 ātrumi;Tumši;Apvidus;16300;52500
Kia Niro;Kia;Niro;2018;Oktobris;1,6;Hybrid;Automāts;Pelēkametālika;Hečbeks;16300;98000
Hyundai Kona;Hyundai;Kona;2018;Oktobris;1,6;Benzīns;Automāts 7 ātrumi;Melnametālika;Hečbeks;16290;105000
Nissan X-Trail;Nissan;X-Trail;2018;Aprīlis;1,6;Dīzelis;Automāts;Melnametālika;Apvidus;16250;97225
Nissan Qashqai;Nissan;Qashqai;2019;Maijs;1,3;Benzīns;Manuāla;Melna;Apvidus;16200;95145
Toyota C-HR;Toyota;C-HR;2019;;1,2;Benzīns;Automāts;Zila;Apvidus;16200;107000
Kia Ceed;Kia;Ceed;2020;Jūlijs;1,4;Benzīns;Automāts 7 ātrumi;Sudrabametālika;Universāls;16199;83311
Citroen Jumpy;Citroen;Jumpy;2019;Marts;2;Dīzelis;Manuāla 6 ātrumi;Balta;-;16100;165269
Citroen Jumpy;Citroen;Jumpy;2019;Marts;2;Dīzelis;Manuāla 6 ātrumi;Balta;-;16100;165269
Toyota Yaris;Toyota;Yaris;2022;Jūlijs;1,5;Benzīns;Automāts;Baltametālika;Sedans;16000;29237
Nissan Qashqai;Nissan;Qashqai;2019;Jūnijs;1,3;Benzīns;Automāts;Brūnametālika;Apvidus;16000;69759
Nissan Qashqai;Nissan;Qashqai;2018;Marts;1,2;Benzīns;Automāts;Sudrabametālika;Apvidus;16000;35000
Nissan Qashqai;Nissan;Qashqai;2020;Septembris;1,2;Benzīns;Automāts 6 ātrumi;Balta;Apvidus;16000;106000
Porsche Cayenne;Porsche;Cayenne;2012;Maijs;3;Dīzelis;Automāts;Melna;Universāls;16000;262389
Kia Stonic;Kia;Stonic;2020;Oktobris;1;Benzīns;Automāts 7 ātrumi;Dzeltenametālika;Apvidus;16000;37972
Toyota C-HR;Toyota;C-HR;2018;Jūnijs;1,8;Hybrid;Automāts;Pelēkametālika;Hečbeks;16000;222324
Toyota Proace;Toyota;Proace;2018;;2;Dīzelis;Automāts;Zila;Mikroautobuss;16000;247000
Toyota Yaris;Toyota;Yaris;2021;Janvāris;1,5;Benzīns;Automāts 8 ātrumi;NA;Hečbeks;15999;75000
Toyota Yaris;Toyota;Yaris;2021;Februāris;1,5;Hybrid;Automāts;Brūnametālika;Hečbeks;15990;52601
Toyota Land Cruiser;Toyota;Land Cruiser;2007;;3;Dīzelis;Automāts;Sarkana;Apvidus;15990;133500
Porsche Cayenne;Porsche;Cayenne;2011;Jūlijs;3;Dīzelis;Automāts;Sudraba;Apvidus;15990;253096
Hyundai Santa FE;Hyundai;Santa FE;2014;;2,2;Dīzelis;Automāts;Baltametālika;Apvidus;15990;135000
Nissan Qashqai;Nissan;Qashqai;2018;;1,2;Benzīns;Automāts;Melnametālika;Apvidus;15990;137000
Citroen Berlingo;Citroen;Berlingo;2019;Jūlijs;1,5;Dīzelis;Automāts;Melna;Minivens;15990;120440
Citroen C5 Aircross;Citroen;C5 Aircross;2019;Jūnijs;1,5;Dīzelis;Manuāla 6 ātrumi;Pelēkametālika;Universāls;15990;60000
Nissan X-Trail;Nissan;X-Trail;2018;;1,6;Dīzelis;Automāts 7 ātrumi;Brūnametālika;Hečbeks;15980;204000
Hyundai Santa FE;Hyundai;Santa FE;2014;Februāris;2,2;Dīzelis;Automāts;Zilametālika;Apvidus;15950;204194
Nissan Qashqai;Nissan;Qashqai;2018;Oktobris;1,6;Dīzelis;Automāts 7 ātrumi;Brūnametālika;Apvidus;15950;104250
Hyundai Tucson;Hyundai;Tucson;2017;Marts;2;Dīzelis;Automāts;Pelēkametālika;Apvidus;15950;
Hyundai Tucson;Hyundai;Tucson;2020;Septembris;1,6;Dīzelis;Manuāla 6 ātrumi;NA;Apvidus;15900;70000
Nissan Qashqai;Nissan;Qashqai;2018;Jūnijs;1,6;Benzīns;Manuāla 6 ātrumi;Pelēkametālika;Apvidus;15900;101722
Nissan Qashqai;Nissan;Qashqai;2019;Jūnijs;1,3;Benzīns;Manuāla 6 ātrumi;Sarkanametālika;Apvidus;15900;94148
Nissan Qashqai;Nissan;Qashqai;2018;Augusts;1,2;Benzīns;Automāts;Balta;Hečbeks;15900;94403
Toyota Hilux;Toyota;Hilux;2011;;3;Dīzelis;Automāts;Sudraba;Pikaps;15900;242000
Kia Sportage;Kia;Sportage;2016;Septembris;2;Dīzelis;Automāts;Melnametālika;Apvidus;15900;145300
Hyundai Tucson;Hyundai;Tucson;2018;Oktobris;1,7;Benzīns;Automāts 7 ātrumi;Balta;Apvidus;15900;105000
Porsche Cayenne;Porsche;Cayenne;2010;Jūlijs;3;Dīzelis;Automāts 8 ātrumi;Melnametālika;Apvidus;15850;
Toyota Auris;Toyota;Auris;2018;Novembris;1,8;Hybrid;Automāts;Brūnametālika;Universāls;15800;90000
Toyota Land Cruiser;Toyota;Land Cruiser;2010;Oktobris;3;Dīzelis;Manuāla 6 ātrumi;Pelēkametālika;Apvidus;15800;276250
Porsche Cayenne;Porsche;Cayenne;2011;Novembris;3;Dīzelis;Automāts 8 ātrumi;Melnametālika;Apvidus;15800;340000
Kia Sportage;Kia;Sportage;2016;Oktobris;2;Dīzelis;Automāts 6 ātrumi;Sarkanametālika;Apvidus;15800;202000
Hyundai Tucson;Hyundai;Tucson;2016;Aprīlis;2;Dīzelis;Automāts;Pelēkametālika;Apvidus;15790;147466
Kia Ceed;Kia;Ceed;2019;Maijs;1,6;Dīzelis;Automāts 7 ātrumi;Melnametālika;Hečbeks;15780;101000
Toyota C-HR;Toyota;C-HR;2018;;2;Benzīns/Gāze;Automāts;Melna;Apvidus;15750;141350
Toyota Tundra;Toyota;Tundra;2010;;5,7;Benzīns/Gāze;Automāts;Tumši;Pikaps;15730;296000
Kia Sportage;Kia;Sportage;2017;Augusts;2;Dīzelis;Automāts 6 ātrumi;Sudrabametālika;Hečbeks;15700;
Toyota RAV 4;Toyota;RAV 4;2016;;2,5;Hybrid;Automāts;Melnametālika;-;15600;216000
Toyota Corolla;Toyota;Corolla;2019;;1,6;Benzīns;Automāts;Sudrabametālika;Sedans;15500;117000
Toyota Proace;Toyota;Proace;2017;Augusts;2;Dīzelis;Manuāla;Melnametālika;Minivens;15500;216019
Toyota RAV 4;Toyota;RAV 4;2017;Februāris;2,5;Hybrid;Automāts;Balta;Apvidus;15500;200000
Toyota RAV 4;Toyota;RAV 4;2014;Jūlijs;2;Benzīns;Automāts;Tumši;Apvidus;15500;112002
Hyundai Tucson;Hyundai;Tucson;2016;Augusts;2;Dīzelis;Automāts 6 ātrumi;Pelēkametālika;Apvidus;15500;220000
Nissan Qashqai;Nissan;Qashqai;2019;Oktobris;1,3;Benzīns;Manuāla;Balta;Apvidus;15500;69729
Nissan Juke;Nissan;Juke;2021;Decembris;1;Benzīns;Automāts;Baltametālika;Apvidus;15500;39000
Porsche Cayenne;Porsche;Cayenne;2012;;3;Dīzelis;Automāts 8 ātrumi;Melnametālika;Minivens;15500;318000
Porsche Cayenne;Porsche;Cayenne;2011;;4,8;Benzīns;Automāts 8 ātrumi;Sudrabametālika;Apvidus;15500;
Toyota Proace;Toyota;Proace;2020;Augusts;1,5;Dīzelis;Manuāla 6 ātrumi;Melna;Mikroautobuss;15500;60000
Nissan Juke;Nissan;Juke;2021;Februāris;1;Benzīns;Automāts 7 ātrumi;Baltametālika;Apvidus;15490;71000
Toyota Corolla;Toyota;Corolla;2019;Septembris;1,8;Hybrid;Automāts;Pelēkametālika;Universāls;15490;127000
Toyota RAV 4;Toyota;RAV 4;2017;Jūlijs;2;Dīzelis;Manuāla 6 ātrumi;Brūnametālika;Apvidus;15490;214107
Kia Sorento;Kia;Sorento;2015;;2,2;Dīzelis;Automāts;Brūnametālika;Apvidus;15450;200000
Nissan Qashqai;Nissan;Qashqai;2017;Aprīlis;1,2;Benzīns;Automāts;Violeta;Apvidus;15300;58060
Kia Sportage;Kia;Sportage;2019;Maijs;1,6;Dīzelis;Automāts 7 ātrumi;Tumši;-;15300;110000
Nissan X-Trail;Nissan;X-Trail;2017;Jūnijs;2;Dīzelis;Automāts;Melnametālika;Apvidus;15290;181700
Hyundai Santa FE;Hyundai;Santa FE;2015;Augusts;2,2;Dīzelis;Automāts;Melnametālika;Apvidus;15250;229000
Kia Sportage;Kia;Sportage;2016;Septembris;1,6;Benzīns;Automāts;Pelēka;Apvidus;15150;133000
Suzuki Vitara;Suzuki;Vitara;2021;;1,4;Hybrid;Automāts 6 ātrumi;Pelēka;Apvidus;15047;88000
Toyota Corolla;Toyota;Corolla;2021;Jūlijs;1,2;Benzīns;Manuāla 6 ātrumi;Melnametālika;Hečbeks;15000;44279
Kia Sportage;Kia;Sportage;2018;Janvāris;1,6;Benzīns;Automāts;Baltametālika;Apvidus;15000;170000
Kia Sportage;Kia;Sportage;2018;Decembris;2;Dīzelis;Automāts 6 ātrumi;Melnametālika;Apvidus;15000;120000
Nissan Patrol;Nissan;Patrol;1990;Maijs;2,8;Dīzelis;Manuāla 5 ātrumi;Melna;Apvidus;15000;302000
Porsche Boxster;Porsche;Boxster;2005;Jūlijs;2,7;Benzīns;Manuāla;Sudrabametālika;Kabriolets;15000;160121
Nissan X-Trail;Nissan;X-Trail;2018;Marts;1,6;Dīzelis;Automāts 7 ātrumi;Melnametālika;Apvidus;14999;
Porsche Cayenne;Porsche;Cayenne;2013;Novembris;4,8;Benzīns;Automāts;Pelēka;Apvidus;14999;170000
Kia Sportage;Kia;Sportage;2017;Maijs;2;Dīzelis;Automāts;Sudrabametālika;Hečbeks;14999;143000
Nissan 350 Z;Nissan;350 Z;2004;;3,5;Benzīns;Manuāla;Pelēkametālika;Kupeja;14999;185000
Kia Optima;Kia;Optima;2019;Septembris;1,6;Benzīns;Automāts;Balta;Sedans;14999;145236
Citroen Berlingo;Citroen;Berlingo;2019;;1,5;Dīzelis;Automāts;Sarkana;Minivens;14990;
Nissan Qashqai;Nissan;Qashqai;2017;Februāris;1,6;Dīzelis;Automāts;Balta;Apvidus;14990;104055
Toyota RAV 4;Toyota;RAV 4;2014;;2,2;Dīzelis;Automāts;Melna;Apvidus;14990;240015
Nissan Navara;Nissan;Navara;2018;;2,3;Dīzelis;Manuāla 6 ātrumi;Zila;Apvidus;14990;280401
Citroen Jumpy;Citroen;Jumpy;2017;Janvāris;2;Dīzelis;Manuāla;Brūna;Minivens;14990;183750
Hyundai Ioniq;Hyundai;Ioniq;2019;Aprīlis;1,6;Hybrid;Automāts;Tumši;Hečbeks;14990;134000
Hyundai Tucson;Hyundai;Tucson;2017;;1,7;Dīzelis;Automāts;Melnametālika;Apvidus;14990;140000
Toyota RAV 4;Toyota;RAV 4;2016;Marts;2;Benzīns;Automāts 6 ātrumi;Brūnametālika;Apvidus;14990;
Kia Sportage;Kia;Sportage;2017;Jūlijs;1,7;Dīzelis;Manuāla 6 ātrumi;Pelēkametālika;Apvidus;14950;185000
Hyundai Santa FE;Hyundai;Santa FE;2014;Septembris;2,2;Dīzelis;Automāts;Pelēka;Apvidus;14950;180944
Hyundai Santa FE;Hyundai;Santa FE;2014;Oktobris;2,2;Dīzelis;Automāts;Melnametālika;Apvidus;14950;218000
Hyundai Tucson;Hyundai;Tucson;2019;;1,6;Dīzelis;Automāts;Melna;Apvidus;14950;
Kia Ceed;Kia;Ceed;2020;Augusts;1,4;Benzīns;Automāts 7 ātrumi;Balta;Hečbeks;14900;36360
Toyota Aygo;Toyota;Aygo;2019;Augusts;1;Benzīns;Automāts;NA;Hečbeks;14900;20200
Toyota Corolla;Toyota;Corolla;2016;Marts;1,6;Benzīns;Manuāla;Brūnametālika;Hečbeks;14900;19000
Kia Sportage;Kia;Sportage;2017;Novembris;1,7;Dīzelis;Automāts;Melnametālika;Apvidus;14900;
Hyundai Tucson;Hyundai;Tucson;2016;Oktobris;1,6;Benzīns;Automāts 7 ātrumi;Pelēkametālika;Apvidus;14900;
Nissan Navara;Nissan;Navara;2014;;3;Dīzelis;Automāts;Melna;Apvidus;14890;215600
Kia Sorento;Kia;Sorento;2015;Jūnijs;2,2;Dīzelis;Automāts;Melnametālika;Apvidus;14890;202005
Hyundai Ioniq;Hyundai;Ioniq;2018;Februāris;;;Automāts;Baltametālika;Hečbeks;14850;53000
Toyota Avensis;Toyota;Avensis;2017;Augusts;1,8;Benzīns;Automāts 6 ātrumi;Pelēkametālika;Universāls;14800;85200
Hyundai Santa FE;Hyundai;Santa FE;2012;Oktobris;2,2;Dīzelis;Automāts 6 ātrumi;Melna;Apvidus;14790;128000
Hyundai Santa FE;Hyundai;Santa FE;2014;Septembris;2,2;Dīzelis;Automāts;Pelēkametālika;Apvidus;14700;180944
Hyundai Santa FE;Hyundai;Santa FE;2015;Decembris;2,2;Dīzelis;Automāts;Brūnametālika;Apvidus;14700;159500
Nissan Qashqai;Nissan;Qashqai;2017;Decembris;1,5;Dīzelis;Manuāla;Brūna;Apvidus;14700;150000
Toyota Land Cruiser;Toyota;Land Cruiser;1999;Augusts;3;Dīzelis;Automāts;Zaļa;Apvidus;14650;319099
Nissan Qashqai;Nissan;Qashqai;2018;Septembris;1,2;Benzīns;Automāts;Sarkanametālika;Apvidus;14650;122419
Kia Niro;Kia;Niro;2018;;1,6;Hybrid;Automāts 6 ātrumi;Baltametālika;Hečbeks;14650;92600
Hyundai Tucson;Hyundai;Tucson;2017;Novembris;1,7;Dīzelis;Automāts;Melna;Apvidus;14600;140100
Toyota Auris;Toyota;Auris;2018;;1,8;Hybrid;Automāts;Pelēka;Universāls;14500;90000
Toyota RAV 4;Toyota;RAV 4;2013;Novembris;2;Benzīns;Automāts;Melna;Apvidus;14500;68187
Hyundai Tucson;Hyundai;Tucson;2017;Jūlijs;1,7;Dīzelis;Automāts 7 ātrumi;Melna;Apvidus;14500;184301
Hyundai Santa FE;Hyundai;Santa FE;2015;Jūlijs;2,2;Dīzelis;Automāts 7 ātrumi;Sarkanametālika;Apvidus;14500;196173
Nissan Qashqai;Nissan;Qashqai;2017;Marts;1,2;Benzīns;Automāts;Melna;Apvidus;14500;127774
Nissan X-Trail;Nissan;X-Trail;2014;Jūlijs;1,6;Dīzelis;Manuāla;Balta;Apvidus;14500;195979
Nissan X-Trail;Nissan;X-Trail;2015;Augusts;1,6;Dīzelis;Automāts 6 ātrumi;Brūna;Apvidus;14500;164000
Citroen Berlingo;Citroen;Berlingo;2019;Jūlijs;1,5;Dīzelis;Manuāla;Balta;Minivens;14500;67000
Hyundai Ioniq;Hyundai;Ioniq;2019;Janvāris;;;Automāts;Sudrabametālika;Hečbeks;14500;139500
Toyota Venza;Toyota;Venza;2014;Marts;3,5;Benzīns/Gāze;Automāts 5 ātrumi;Balta;Hečbeks;14499;150000
Hyundai Santa FE;Hyundai;Santa FE;2015;Marts;2,2;Dīzelis;Automāts;Sudrabametālika;Apvidus;14490;161000
Toyota Sienna;Toyota;Sienna;2013;Augusts;3,5;Benzīns/Gāze;Automāts 6 ātrumi;Tumši;Minivens;14444;178433
Toyota Corolla;Toyota;Corolla;2019;Jūnijs;1,2;Benzīns;Automāts 7 ātrumi;Melna;Hečbeks;14400;66443
Toyota RAV 4;Toyota;RAV 4;2014;Februāris;2;Dīzelis;Manuāla 6 ātrumi;Baltametālika;Apvidus;14370;115880
Toyota Prius;Toyota;Prius;2017;Aprīlis;1,8;Hybrid;Automāts;Melnametālika;Hečbeks;14350;193000
