Model;Manuf;Model Details;Year;Month;Motor Type_0;Motor Type_1;Transmission;Color;Body Type;Price;Mileage
Hyundai Santa FE;Hyundai;Santa FE;2006;Maijs;2,2;Dīzelis;Manuāla 5 ātrumi;Melna;Apvidus;2000;372090
Hyundai Santa FE;Hyundai;Santa FE;2007;;2,2;Dīzelis;Manuāla;Tumši;Apvidus;2000;621586
Hyundai Santa FE;Hyundai;Santa FE;2007;;2;Dīzelis;Automāts;Melna;Apvidus;2000;261832
Nissan Qashqai;Nissan;Qashqai;2009;Janvāris;1,5;Dīzelis;Manuāla 6 ātrumi;Pelēkametālika;Apvidus;2000;542200
Nissan X-Trail;Nissan;X-Trail;2006;Septembris;2,2;Dīzelis;Manuāla;Sudraba;Apvidus;2000;315194
Citroen Nemo;Citroen;Nemo;2009;Novembris;1,4;Dīzelis;Manuāla 5 ātrumi;Melnametālika;Pikaps;2000;350000
Hyundai i30;Hyundai;i30;2013;;1,4;Dīzelis;Manuāla;Sudrabametālika;Hečbeks;2000;228000
Hyundai Sonata;Hyundai;Sonata;2008;Februāris;2;Dīzelis;Manuāla 6 ātrumi;Sarkanametālika;Sedans;2000;267271
Hyundai Santa FE;Hyundai;Santa FE;2007;Jūnijs;2;Dīzelis;Automāts;Pelēkametālika;Apvidus;2000;
Nissan X-Trail;Nissan;X-Trail;2004;;2,5;Benzīns/Gāze;Manuāla 5 ātrumi;Pelēka;Apvidus;2000;
Citroen C4 Picasso;Citroen;C4 Picasso;2010;Aprīlis;2;Benzīns;Manuāla 4 ātrumi;Zila;Minivens;2000;167000
Toyota Avensis;Toyota;Avensis;2006;Jūlijs;2,4;Benzīns;Automāts;Pelēka;Sedans;2000;345000
Toyota Corolla;Toyota;Corolla;2004;Oktobris;2;Dīzelis;Manuāla 5 ātrumi;Melna;Hečbeks;2000;225239
Toyota Corolla Verso;Toyota;Corolla Verso;2004;Maijs;2;Dīzelis;Manuāla;Pelēkametālika;Minivens;2000;332386
Toyota Avensis;Toyota;Avensis;2006;Jūlijs;2,2;Dīzelis;Manuāla 6 ātrumi;Melna;Universāls;2000;331000
Toyota Corolla Verso;Toyota;Corolla Verso;2007;;2,2;Dīzelis;Manuāla 6 ātrumi;Pelēka;Minivens;2000;259500
Kia RIO;Kia;RIO;2008;Jūlijs;1,4;Benzīns;Manuāla;Melnametālika;Hečbeks;1999;169000
Hyundai Sonata;Hyundai;Sonata;2006;;2,4;Benzīns;Automāts;Brūnametālika;Sedans;1990;
Citroen C3;Citroen;C3;2008;;1,4;Benzīns;Manuāla;Pelēka;Hečbeks;1990;
